Region, District No, District, School No, NCES School Number, School, Email, Title, Status, School Type, Address, Address2, Address3, Address4, City, State, Zipcode, Zip+4, Phone1, Phone2, Fax, Grade Levels, Categories
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,230,DYER COUNTY,35,4.70E+11,Newbern Elementary School,khill@dyercs.net,Principal: Kevin Hill,A,Public,401 North York ST,,,,Newbern,TN,38059,,(731) 627-2139,,(731) 627-9610,"PK,K,1,2,3,4,5",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,230,DYER COUNTY,43,4.70E+11,Three Oaks Middle School,mstafford@dyercs.net,Principal: Matt Stafford,A,Public,3200 Upper Finley ST,,,,Dyersburg,TN,38024,,(731) 285-3100,,(731) 285-3360,"6,7,8",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,230,DYER COUNTY,45,4.70E+11,Trimble Elementary,chutching@dyercs.net,Principal: Cindy Hutching,A,Public,256  College  ST,,,,Trimble,TN,38259,,(731) 297-5512,,(731) 297-5514,"PK,K,1,2,3,4,5",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,231,DYERSBURG,12,4.70E+11,Dyersburg Intermediate School,lclick@dyersburgcityschools.org,Principal: Lenita Click,A,Public,725  Tibbs  ST,,,,Dyersburg,TN,38024,,(731) 286-3620,,(731) 286-3622,"3,4,5",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,480,LAKE COUNTY,5,4.70E+11,Lake Co High School,preston.caldwell@lcfalcons.net,Principal: Preston Caldwell,A,Public,300  Cochran  ST,,,,Tiptonville,TN,38079,,(731) 253-7734,,(731) 253-7766,"9,10,11,12",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,480,LAKE COUNTY,10,4.70E+11,Lara Kendall Elementary,david.ayers@lcfalcons.net,Principal: David Ayers,A,Public,200  College  ST,,,,Ridgely,TN,38080,,(731) 264-5586,,(731) 264-5587,"3,4,5,6,7,8",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,480,LAKE COUNTY,15,4.70E+11,Margaret Newton Elementary,gamble.snyder@lcfalcons.net,Principal: Gamble Snyder,A,Public,819  Church  ST,,,,Tiptonville,TN,38079,,(731) 253-7253,,(731) 253-7178,"PK,K,1,2",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,400,HENRY COUNTY,15,4.70E+11,E. W. Grove School,masont@henryk12.net,Principal: Tim Mason,A,Public,215  Grove  BLVD,,,,Paris,TN,38242,,(731) 642-4586,,(731) 642-4577,9,
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,400,HENRY COUNTY,20,4.70E+11,Henry Elementary,armstrongd@henryk12.net,Principal: Daniel Armstrong,A,Public,937 Pioneer RD,,,,Henry,TN,38231,,(731) 243-7114,,(731) 243-2951,"PK,PS,K,1,2,3,4,5,6,7,8",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,400,HENRY COUNTY,25,4.70E+11,Henry Co High School,webbm@henryk12.net,Principal: Michele Webb,A,Public,315 South Wilson ST,,,,Paris,TN,38242,,(731) 642-5232,,(731) 642-5240,"10,11,12",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,400,HENRY COUNTY,33,4.70E+11,Lakewood Elementary,ryana@henryk12.net,Principal: Amber Ryan,A,Public,6745 Highway 79 North ,,,,Buchanan,TN,38222,,(731) 644-1600,,(731) 644-0680,"PK,PS,K,1,2,3,4,5",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,401,PARIS,10,4.70E+11,W O Inman Middle School,jason.scarbrough@parisssd.org,Principal: Jason Scarbrough,A,Public,400  Harrison  ST,,,,Paris,TN,38242,,(731) 642-8131,,(731) 642-8209,"6,7,8",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,401,PARIS,15,4.70E+11,W G Rhea Elementary,Chris.Hudgins@parisssd.org,Principal: Chris Hudgins,A,Public,115 South Wilson ST,,,,Paris,TN,38242,,(731) 642-0961,,(731) 642-5171,"K,1,2",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,401,PARIS,20,4.70E+11,Paris Elementary,chip.gray@parisssd.org,Principal: Chip Gray,A,Public,650 B Volunteer DR,,,,Paris,TN,38242,,(731) 642-3675,,(731) 644-0734,"3,4,5",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,660,OBION COUNTY,7,4.70E+11,Black Oak Elementary,jkerr2@ocboe.com,Principal: Jon Kerr,A,Public,365 North Shawtown RD,,,,Hornbeak,TN,38232,,(731) 538-2271,,(731) 538-3001,"P4,P3,K,1,2,3,4,5,6,7,8",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,660,OBION COUNTY,12,4.70E+11,Hillcrest Elementary,progers@ocboe.com,Principal: Patresa Rogers,A,Public,605 South Main ST,,,,Troy,TN,38260,,(731) 536-4222,,(731) 536-4609,"P4,P3,K,1,2,3,4,5,6,7,8",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,660,OBION COUNTY,26,4.70E+11,Lake Road Elementary,lcrigger@ocboe.com,Principal: Linda Crigger,A,Public,1130 East Highway 22 ,,,,Union City,TN,38261,,(731) 885-5304,,(731) 885-1244,"P4,K,1,2,3,4,5,6,7,8",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,660,OBION COUNTY,35,4.70E+11,Obion County Central High School,jkendall2@ocboe.com,Principal: Barry Kendall,A,Public,528 North Highway 51 ,,,,Troy,TN,38260,,(731) 536-4688,,(731) 536-0469,"9,10,11,12",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,660,OBION COUNTY,38,4.70E+11,Ridgemont Elementary,ssimpson@ocboe.com,Principal: Sandy Simpson,A,Public,1285 N  Highway 45 By - Pass ,,,,Union City,TN,38261,,(731) 536-5171,,(731) 536-0664,"P4,K,1,2,3,4,5,6,7,8",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,660,OBION COUNTY,45,4.70E+11,South Fulton Elementary,pittsl@ocboe.com,Principal: Laura Pitts,A,Public,209 John C. Jones PKWY,,,,South Fulton,TN,38257,,(731) 479-2304,,(731) 479-1447,"P4,P3,K,1,2,3,4,5",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,660,OBION COUNTY,50,4.70E+11,South Fulton Middle / High School,kjackson@ocboe.com,Principal: Kimberly Jackson,A,Public,1302 South Fulton DR,,,,South Fulton,TN,38257,,(731) 479-1441,,(731) 479-0586,"6,7,8,9,10,11,12",
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,661,UNION CITY,10,4.70E+11,Union City Elementary School,floodr@ucboe.net,Principal: Rene Flood,A,Public,1100 South Miles AVE,,,,Union City,TN,38261,5415,(731) 885-1632,,(731) 885-9699,"PK,K,1,2,3,4",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,110,4.70E+11,Northfield Academy,dawsond@mauryk12.org,Principal: Dedra Dawson,A,Public,500 Northfield LN,,,,Spring Hill,TN,37174,,,,(931) 840-4410,"9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,590,MARSHALL COUNTY,65,4.70E+11,Delk-Henson Intermediate School,robbie.reasonover@mcstn.net,Principal: Robert Reasonover,A,Public,425 South Horton PKWY,,,,Chapel Hill,TN,37034,,(931) 536-0491,,(931) 536-0494,"4,5,6",
SOUTH CENTRAL CORE REGIONAL OFFICE,520,LINCOLN COUNTY,95,4.70E+11,Lincoln Central Academy,cwright@lcdoe.org,Principal: Christy Wright,A,Public,900 South Main AVE,,,,Fayetteville,TN,37334,,(931) 433-6156,,(931) 438-2465,"4,5,6,7,8,9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,162,TULLAHOMA,37,4.70E+11,Tullahoma Virtual Academy,tcsvirtual@tcsedu.net,Principal: Dr. Greg English,A,Public Virtual School,301 West Decherd ST,,,,Tullahoma,TN,37388,,(931) 454-2638,,,"9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,120,4.70E+11,Battle Creek Middle School,,Principal: Dr. William Penner,A,Public,121 Battle Creek Way ,,,,Spring Hill,TN,37174,,(931) 388-8403,,(931) 840-4410,"5,6,7,8",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,102,4.70E+11,Virtual Academy of Maury County,,Principal: Luemma McWilliams,A,Public Virtual School,1101 Bridge ST,,,,Columbia,TN,38401,,,,,"7,8,9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,115,4.70E+11,Battle Creek Elementary School,,Principal: Laura Duncan,A,Public,165 Battle Creek Way ,,,,Spring Hill,TN,37174,,(931) 388-8403,,(931) 840-4410,"K,1,2,3,4",
SOUTH CENTRAL CORE REGIONAL OFFICE,910,WAYNE COUNTY,38,4.70E+11,Wayne County Virtual School,waynecovirtualsch@waynetn.net,Principal: Ladonna Edwards,A,Public Virtual School,419 South Main ST,,,,Waynesboro,TN,38485,,,,,"7,8,9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,500,LAWRENCE COUNTY,77,4.70E+11,Pioneer Virtual Academy,sarah.cope@lcss.us,Principal: Sarah Cope,A,Public Virtual School,700 Mahr AVE,,,,Lawrenceburg,TN,38464,,,,,"K,1,2,3,4,5,6,7,8,9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,520,LINCOLN COUNTY,12,4.70E+11,Blanche School,ggarris@lcdoe.org,Principal: Garth Garris,A,Public,1491 Ardmore HWY,,,,Taft,TN,38488,,(931) 425-6141,,,"PK,PS,K,1,2,3,4,5,6,7,8",
SOUTH CENTRAL CORE REGIONAL OFFICE,160,COFFEE COUNTY,57,4.70E+11,Coffee County Virtual Academy,ccva@k12coffee.net,Principal: Jeff Johnson,A,Public Virtual School,1756 McMinnville HWY,,,,Manchester,TN,37355,,(931) 570-2670,,(931) 273-5172,"6,7,8,9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,520,LINCOLN COUNTY,97,4.70E+11,Lincoln Central Virtual Academy,cwright@lcdoe.org,Principal: Christy Wright,A,Public Virtual School,909 Main Avenue South ,,,,Fayetteville,TN,37334,,(931) 433-6156,,(931) 438-2465,"K,1,2,3,4,5,6,7,8,9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,680,PERRY COUNTY,40,4.70E+11,Perry County Virtual School,lward@perrycountyschools.us,Principal: Lindsey Ward,A,Public Virtual School,857 Squirrel Hollow DR,,,,Linden,TN,37096,,(931) 589-2102,,(931) 589-5110,"4,5,6,7,8,9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,410,HICKMAN COUNTY,19,4.70E+11,Hickman County Learning Academy,becky.malugin@hickmank12.org,Principal: Becky Malugin,A,Public Virtual School,115 Murphree AVE,,,,Centerville,TN,37033,,,,,"3,4,5,6,7,8,9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,20,BEDFORD COUNTY,11,4.70E+11,Bedford County Virtual School,gillilandm@bedfordk12tn.net,Principal: Meredith Gilliland,A,Public Virtual School,1165 Bell Buckle Wartrace RD,,,,Wartrace,TN,37183,,(931) 684-3284 ext. 2227,,,"3,4,5,6,7,8,9,10",
SOUTH CENTRAL CORE REGIONAL OFFICE,510,LEWIS COUNTY,10,4.70E+11,Lewis Co High School,shickerson@lewisk12.org,Principal: Stacey Hickerson,A,Public,818 West Main ST,,,,Hohenwald,TN,38462,,(931) 796-4085,,(931) 796-1172,"9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,520,LINCOLN COUNTY,45,4.70E+11,Flintville School,dgolden@lcdoe.org,Principal: David Golden,A,Public,37 Flintville School RD,,,,Flintville,TN,37335,,(931) 937-8271,,,"PK,K,1,2,3,4,5,6,7,8",
SOUTH CENTRAL CORE REGIONAL OFFICE,520,LINCOLN COUNTY,50,4.70E+11,Highland Rim School,apickens@lcdoe.org,Principal: Amanda Pickens,A,Public,111  Highland  Rim RD,,,,Fayetteville,TN,37334,,(931) 433-4197,,,"PK,K,1,2,3,4,5,6,7,8",
SOUTH CENTRAL CORE REGIONAL OFFICE,520,LINCOLN COUNTY,56,4.70E+11,Lincoln County High School,bowens@lcdoe.org,Principal: Billy Owens,A,Public,1233  Huntsville  HWY,,,,Fayetteville,TN,37334,,(931) 433-6505,,,"9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,520,LINCOLN COUNTY,82,4.70E+11,South Lincoln School,jturpen@lcdoe.org,Principal: Jennifer Turpen,A,Public,362  Smith  Mill RD,,,,Fayetteville,TN,37334,,(931) 937-7385,,,"PK,K,1,2,3,4,5,6,7,8",
SOUTH CENTRAL CORE REGIONAL OFFICE,520,LINCOLN COUNTY,90,4.70E+11,Unity School,epierce@lcdoe.org,Principal: Emily Pierce,A,Public,259  Boonshill-Petersburg  ,,,,Petersburg,TN,37144,,(931) 433-9018,,,"PK,K,1,2,3,4,5,6,7,8",
SOUTH CENTRAL CORE REGIONAL OFFICE,521,FAYETTEVILLE,10,4.70E+11,Fayetteville High School,mccormicka@fcsboe.org,Principal: Adam McCormick,A,Public,1800  Wilson  PKWY,,,,Fayetteville,TN,37334,,(931) 433-3158,,(931) 433-3158,"9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,521,FAYETTEVILLE,20,4.70E+11,Ralph Askins School,whitenackt@fcsboe.org,Principal: Tonja Whitenack,A,Public,901  Shady  LN,,,,Fayetteville,TN,37334,,(931) 433-5311,,,"PK,K,1,2,3,4,5",
SOUTH CENTRAL CORE REGIONAL OFFICE,590,MARSHALL COUNTY,7,4.70E+11,Chapel Hill Elementary,dawn.kirby@mcstn.net,Principal: Dawn Kirby,A,Public,415 S Horton PKWY,,,,Chapel Hill,TN,37034,,(931) 246-4255,,(931) 246-4252,"K,1,2,3",
SOUTH CENTRAL CORE REGIONAL OFFICE,590,MARSHALL COUNTY,20,4.70E+11,Cornersville School,brent.adcox@mcstn.net,Principal: Brent Adcox,A,Public,323  S  Main ST,,,,Cornersville,TN,37047,,(931) 246-4170,,(931) 246-4153,"7,8,9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,590,MARSHALL COUNTY,30,4.70E+11,Forrest School,angie.phifer@mcstn.net,Principal: Angie Phifer,A,Public,310 North  Horton PKWY,,,,Chapel Hill,TN,37034,,(931) 246-4733,,(931) 246-4732,"7,8,9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,590,MARSHALL COUNTY,41,4.70E+11,Lewisburg Middle School,morgan.sanders@mcstn.net,Principal: Morgan Sanders,A,Public,500  Tiger  BLVD,,,,Lewisburg,TN,37091,,(931) 359-1265,,(931) 359-4030,"7,8",
SOUTH CENTRAL CORE REGIONAL OFFICE,590,MARSHALL COUNTY,43,4.70E+11,Marshall Elementary,bonnie.reese@mcstn.net,Principal: Bonnie Reese,A,Public,401 Tiger DR,,,,Lewisburg,TN,37091,,(931) 359-7149,,(931) 359-8669,"P4,P3,2,3",
SOUTH CENTRAL CORE REGIONAL OFFICE,590,MARSHALL COUNTY,60,4.70E+11,Westhills Elementary,charlotte.zajac@mcstn.net,Principal: Charlotte Zajac,A,Public,1351 N Ellington PKWY,,,,Lewisburg,TN,37091,,(931) 359-3909,,(931) 359-3999,"4,5,6",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,5,4.70E+11,J. R. Baker Elementary,jclanton@mauryk12.org,Principal: Jon-Micah Clanton,A,Public,1301  Hamphire  PIKE,,,,Columbia,TN,38401,,(931) 388-3319,,(931) 840-4414,"PK,K,1,2,3,4",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,10,4.70E+11,J. Brown Elementary,buschr@mauryk12.org,Principal: Robert Busch,A,Public,301  Cord  DR,,,,Columbia,TN,38401,,(931) 388-3601,,(931) 380-4670,"PK,K,1,2,3,4",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,15,4.70E+11,Columbia Central High School,whiter3@mauryk12.org,Principal: Roger White,A,Public,921 Lion PKWY,,,,Columbia,TN,38401,,(931) 381-2222,,(931) 381-6434,"9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,30,4.70E+11,Culleoka Unit School,plove@mauryk12.org,Principal: Penny Love,A,Public,1921 Warrior LN,,,,Culleoka,TN,38451,,(931) 987-2511,,(931) 987-2594,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,33,4.70E+11,E. A. Cox Middle School,tjmarks@mauryk12.org,Principal: Tracy Marks,A,Public,633 Bear Creek PIKE,,,,Columbia,TN,38401,,(931) 840-3902,,(931) 840-3903,"5,6,7,8",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,40,4.70E+11,Hampshire Unit School,sbcathey@mauryk12.org,Principal: Sonya Booker Cathey,A,Public,4235 Old State RD,,,,Hampshire,TN,38461,,(931) 285-2300,,(931) 285-2612,"K,1,2,3,4,5,6,7,8,9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,45,4.70E+11,Highland Park Elementary,myersk1@mauryk12.org,Principal: Kelly Meyers,A,Public,1606  Highland  AVE,,,,Columbia,TN,38401,,(931) 388-7325,,(931) 380-4682,"PK,K,1,2,3,4",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,50,4.70E+11,J E Woodard Elementary,scurtis@mauryk12.org,Principal: Dr. Stan Curtis,A,Public,207  Rutherford  LN,,,,Columbia,TN,38401,,(931) 380-2872,,(931) 380-4667,"PK,K,1,2,3,4",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,59,4.70E+11,J E Woody Elementary,jtidwell@mauryk12.org,Principal: Julie Tidwell,A,Public,600 North Locust ST,,,,Mt Pleasant,TN,38474,,(931) 379-5040,,(931) 379-2095,"PK,K,1,2,3,4",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,65,4.70E+11,Mt Pleasant High School,rjackson@mauryk12.org,Principal: Dr. Ryan Jackson,A,Public,600 North Greenwood AVE,,,,Mt Pleasant,TN,38474,,(931) 379-5583,,(931) 379-2093,"9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,68,4.70E+11,R Howell Elementary,mford@mauryk12.org,Principal: Michael Ford,A,Public,653 Bear Creek PIKE,,,,Columbia,TN,38401,,(931) 540-1032,,(941) 540-1034,"K,1,2,3,4",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,70,4.70E+11,Riverside Elementary,holmesr1@mauryk12.org,Principal: Reggie Holmes,A,Public,203  Carter  ST,,,,Columbia,TN,38401,,(931) 840-4422,,(931) 380-4696,"P4,P3,PK,K,1,2,3,4",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,85,4.70E+11,Santa Fe Unit School,rhubbell@mauryk12.org,Principal: Randy Hubbell,A,Public,2629 Santa Fe PIKE,,,,Santa Fe,TN,38482,,(931) 682-2172,,(931) 682-2606,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,90,4.70E+11,Spring Hill Elementary,rytaylor@mauryk12.org,Principal: Renata Powell,A,Public,5359 S Main ST,,,,Spring Hill,TN,37174,,(931) 486-2291,,(931) 486-2294,"K,1,2,3,4",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,95,4.70E+11,Spring Hill High School,grzybowskic@mauryk12.org,Principal: Dr. Christine Potts,A,Public, One Raider LN,,,,Columbia,TN,38401,,(931) 486-2207,,(931) 486-3113,"9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,100,4.70E+11,Whitthorne Middle School,levans@mauryk12.org,Principal: Lance Evans,A,Public,915 Lion PKWY,,,,Columbia,TN,38401,,(931) 388-2558,,(931) 380-4684,"5,6,7,8",
SOUTH CENTRAL CORE REGIONAL OFFICE,640,MOORE COUNTY,10,4.70E+11,Lynchburg Elementary,melissa.eslick@moorecountyschools.net,Principal: Melissa Eslick,A,Public,276 Mechanic Street North ,,,,Lynchburg,TN,37352,,(931) 759-7388,,,"K,1,2,3,4,5,6",
SOUTH CENTRAL CORE REGIONAL OFFICE,640,MOORE COUNTY,15,4.70E+11,Moore County High School,Brad.sanders@moorecountyschools.net,Principal: Brad Sanders,A,Public,1502 Hwy 55 ,,,,Lynchburg,TN,37352,,(931) 759-4231,,,"7,8,9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,680,PERRY COUNTY,15,4.70E+11,Linden Elementary,awilliams@perrycountyschools.us,Principal: Angie Williams,A,Public,331 Brooklyn AVE,,,,Linden,TN,37096,,(931) 589-2531,,(931) 589-2158,"PK,K,1,2,3,4",
SOUTH CENTRAL CORE REGIONAL OFFICE,680,PERRY COUNTY,20,4.70E+11,Lobelville Elementary,jtrull@perrycountyschools.us,Principal: J.B. Trull,A,Public,196 East Fourth AVE,,,,Lobelville,TN,37097,,(931) 593-2354,,(931) 593-2613,"PK,K,1,2,3,4,5,6,7,8",
SOUTH CENTRAL CORE REGIONAL OFFICE,680,PERRY COUNTY,25,4.70E+11,Linden Middle School,bcunningham@perrycountyschools.us,Principal: Mr. Brent Cunningham,A,Public,130 College AVE,,,,Linden,TN,37096,,(931) 589-5000,,(931) 589-3685,"5,6,7,8",
SOUTH CENTRAL CORE REGIONAL OFFICE,910,WAYNE COUNTY,5,4.70E+11,Collinwood Elementary,greg.pigg@waynetn.net,Principal: Greg Pigg,A,Public,450 North Trojan BLVD,,,,Collinwood,TN,38450,,(931) 724-9118,,,"PK,K,1,2,3,4",
SOUTH CENTRAL CORE REGIONAL OFFICE,910,WAYNE COUNTY,10,4.70E+11,Collinwood High School,brian.crews@waynetn.net,Principal: Brian Crews,A,Public,401 North Trojan BLVD,,,,Collinwood,TN,38450,,(931) 724-4316,,,"9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,910,WAYNE COUNTY,15,4.70E+11,Collinwood Middle School,robert.vandiver@waynetn.net,Principal: Robert Vandiver,A,Public,300 4th Avenue North ,,,,Collinwood,TN,38450,,(931) 724-9510,,,"5,6,7,8",
SOUTH CENTRAL CORE REGIONAL OFFICE,910,WAYNE COUNTY,25,4.70E+11,Frank Hughes School,greg.morris@waynetn.net,Principal: Greg Morris,A,Public,444 Main ST,P. O. Box A,,,Clifton,TN,38425,,(931) 676-3325,,,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,910,WAYNE COUNTY,35,4.70E+11,Wayne County High School,ryan.franks@waynetn.net,Principal: Ryan Franks,A,Public,707 S Main ST,,,,Waynesboro,TN,38485,,(931) 722-3238,,,"9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,910,WAYNE COUNTY,36,4.70E+11,Wayne County Technology Center,beverly.hall@waynetn.net,Principal: Dr. Beverly Hall,A,Public,703 South Main ST,,,,Waynesboro,TN,38485,,(931) 722-5495,,,"9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,910,WAYNE COUNTY,40,4.70E+11,Waynesboro Elementary,brad.stooksberry@waynetn.net,Principal: Brad Stooksberry,A,Public,115 Helton ST,,,,Waynesboro,TN,38485,,(931) 722-5580,,,"PK,K,1,2,3,4",
SOUTH CENTRAL CORE REGIONAL OFFICE,910,WAYNE COUNTY,45,4.70E+11,Waynesboro Middle School,jason.morris@waynetn.net,Principal: Jason Morris,A,Public,407 South Main ST,,,,Waynesboro,TN,38485,,(931) 722-5545,,,"5,6,7,8",
SOUTH CENTRAL CORE REGIONAL OFFICE,510,LEWIS COUNTY,20,4.70E+11,Lewis County Intermediate School,mmcdonald@lewisk12.org,Principal: Mary McDonald,A,Public,310 Park Avenue South ,,,,Hohenwald,TN,38462,,(931) 796-1029,,(931) 796-7651,"3,4,5",
SOUTH CENTRAL CORE REGIONAL OFFICE,521,FAYETTEVILLE,7,4.70E+11,Fayetteville Middle School,jeant@fcsboe.org,Principal: Patricia Jean,A,Public,1800 A Wilson PKWY,,,,Fayetteville,TN,37334,,(931) 438-2533,,(931) 438-2539,"6,7,8",
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,61,4.70E+11,Mt. Pleasant Middle Visual Perform. Arts,tdrinkwine@mauryk12.org,Principal: Dr. Timothy Drinkwine,A,Public,410 Gray LN,,,,Mt. Pleasant,TN,38474,,(931) 379-1100,,(931) 379-1108,"5,6,7,8",
SOUTH CENTRAL CORE REGIONAL OFFICE,590,MARSHALL COUNTY,47,4.70E+11,Marshall Co High School,justin.perry@mcstn.net,Principal: Dr. Justin Perry,A,Public,661 W Ellington PKWY,,,,Lewisburg,TN,37091,,(931) 359-1549,,(931) 359-4784,"9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,20,BEDFORD COUNTY,12,4.70E+11,Cascade Elementary,adcockr@bedfordk12tn.net,Principal: Jennifer Robin Adcock,A,Public,2998  Fairfield  PIKE,,,,Wartrace,TN,37183,,(931) 389-0031,,,"P4,P3,K,1,2,3,4,5",
SOUTH CENTRAL CORE REGIONAL OFFICE,20,BEDFORD COUNTY,33,4.70E+11,Community Elementary School,yoesw@bedfordk12tn.net,Principal: Whitney Yoes,A,Public,3480 Highway  41a ,,,,Unionville,TN,37180,,(931) 685-1417,,,"P4,K,1,2,3,4,5",
SOUTH CENTRAL CORE REGIONAL OFFICE,280,GILES COUNTY,72,4.70E+11,Pulaski Elementary,mbritton@gcboe.us,Principal: Ms. Mary Britton,A,Public,606  Cedar  LN,,,,Pulaski,TN,38478,,(931) 363-5233,,,"PK,K,1,2",
SOUTH CENTRAL CORE REGIONAL OFFICE,680,PERRY COUNTY,27,4.70E+11,Perry County High School,bskelton@perrycountyschools.us,Principal: Blake Skelton,A,Public,1056 Squirrel Hollow RD,,,,Linden,TN,37096,,(931) 589-2831,,(931) 589-5063,"9,10,11,12",
SOUTH CENTRAL CORE REGIONAL OFFICE,410,HICKMAN COUNTY,7,4.70E+11,Centerville Intermediate School,rose.korte@hickmank12.org,Principal: Rose Korte Stites,A,Public,110 Mary Field AVE,,,,Centerville,TN,37033,,(931) 729-2748,,,"3,4,5",
SOUTH CENTRAL CORE REGIONAL OFFICE,410,HICKMAN COUNTY,16,4.70E+11,East Hickman Intermediate School,marcy.tidwell@hickmank12.org,Principal: Marcy Tidwell,A,Public,5198 East Eagle DR,,,,Lyles,TN,37098,,(931) 670-0227,,,"3,4,5",
SOUTH CENTRAL CORE REGIONAL OFFICE,590,MARSHALL COUNTY,18,4.70E+11,Cornersville Elementary,cheryl.ewing@mcstn.net,Principal: Cheryl Ewing,A,Public,485 North Main ST,,,,Cornersville,TN,37047,,(931) 246-4230,,(931) 246-4184,"K,1,2,3,4,5,6",
SOUTH CENTRAL CORE REGIONAL OFFICE,590,MARSHALL COUNTY,51,4.70E+11,Oak Grove Elementary,tracy.kilpatrick@mcstn.net,Principal: Dr. Tracy Kilpatrick,A,Public,1645 Franklin PIKE,,,,Lewisburg,TN,37091,,(931) 270-0892,,(931) 270-8052,"PK,K,1",
SOUTH CENTRAL CORE REGIONAL OFFICE,280,GILES COUNTY,81,4.70E+11,Richland Elementary,lhosay@gcboe.us,Principal: Lynn Hosay,A,Public,10333 Columbia HWY,,,,Lynnville,TN,38472,,(931) 527-0663,,,"PK,K,1,2,3,4,5",
SOUTH CENTRAL CORE REGIONAL OFFICE,410,HICKMAN COUNTY,18,4.70E+11,East Hickman High School,kimberly.williams@hickmank12.org,Principal: Kimberly Williams,A,Public,7700 Highway 7 ,,,,Lyles,TN,37098,,(931) 670-1399,,(931) 670-1039,"9,10,11,12",
